agent,Count,Percentage
9.0,31961,0.26770248764553145
,16340,0.13686238378423654
240.0,13922,0.11660943127565122
1.0,7191,0.06023117514029651
14.0,3640,0.03048831560432197
7.0,3539,0.02964234860541084
6.0,3290,0.027556746796214088
250.0,2870,0.02403886422648463
241.0,1721,0.01441494262501047
28.0,1666,0.013954267526593516
8.0,1514,0.012681129072786665
3.0,1336,0.0111902169360918
37.0,1230,0.010302370382779128
19.0,1061,0.008886841444007035
40.0,1039,0.008702571404640255
314.0,927,0.007764469386045732
21.0,875,0.007328922020269704
229.0,786,0.006583465951922271
242.0,780,0.006533210486640422
83.0,696,0.005829633972694531
29.0,683,0.0057207471312505235
171.0,607,0.005084177904347098
12.0,578,0.004841276488818159
85.0,554,0.004640254627690761
20.0,540,0.0045229918753664465
96.0,537,0.004497864142725521
243.0,514,0.004305218192478432
30.0,484,0.004053940866069185
134.0,482,0.004037189044308568
298.0,472,0.003953429935505486
27.0,450,0.003769159896138705
15.0,402,0.0033671161738839097
26.0,401,0.003358740263003602
11.0,395,0.0033084847977217524
22.0,382,0.003199597956277745
56.0,375,0.0031409665801155878
273.0,349,0.0029231928972275733
177.0,347,0.002906441075466957
86.0,338,0.002831057877544183
58.0,335,0.002805930144903258
5.0,330,0.002764050590501717
119.0,304,0.002546276907613703
196.0,301,0.0025211491749727783
34.0,294,0.0024625177988106205
44.0,292,0.002445765977050004
138.0,287,0.002403886422648463
315.0,284,0.0023787586900075384
38.0,274,0.002294999581204456
10.0,260,0.0021777368288801407
236.0,247,0.0020688499874361335
16.0,246,0.0020604740765558256
17.0,241,0.002018594522154284
115.0,225,0.0018845799480693526
251.0,220,0.0018427003936678113
42.0,211,0.0017673171957450372
68.0,211,0.0017673171957450372
191.0,198,0.0016584303543010302
175.0,195,0.0016333026216601054
195.0,193,0.0016165507998994891
154.0,193,0.0016165507998994891
156.0,190,0.0015914230672585644
168.0,184,0.001541167601976715
152.0,183,0.0015327916910964068
208.0,173,0.0014490325822933245
143.0,172,0.0014406566714130161
326.0,165,0.0013820252952508585
31.0,162,0.0013568975626099338
2.0,162,0.0013568975626099338
147.0,156,0.0013066420973280844
132.0,143,0.0011977552558840774
