booking_changes,Count,Percentage
0,101314,0.8485970349275483
1,12701,0.10638244409079488
2,3805,0.03187034089957283
3,927,0.007764469386045732
4,376,0.0031493424909958957
5,118,0.0009883574838763715
6,63,0.0005276823854594187
7,31,0.00025965323728955524
8,17,0.00014239048496523997
9,8,6.700728704246586e-05
10,6,5.02554652818494e-05
13,5,4.1879554401541165e-05
14,5,4.1879554401541165e-05
15,3,2.51277326409247e-05
11,2,1.6751821760616466e-05
12,2,1.6751821760616466e-05
16,2,1.6751821760616466e-05
17,2,1.6751821760616466e-05
18,1,8.375910880308233e-06
20,1,8.375910880308233e-06
21,1,8.375910880308233e-06
