country,Count,Percentage
PRT,48590,0.40698550967417707
GBR,12129,0.10159142306725856
FRA,10415,0.08723511181841025
ESP,8568,0.07176480442248094
DEU,7287,0.0610352625848061
ITA,3766,0.03154368037524081
IRL,3375,0.028268699221040288
BEL,2342,0.019616383281681884
BRA,2224,0.018628025797805512
NLD,2104,0.017622916492168524
USA,2097,0.017564285116006367
CHE,1730,0.014490325822933244
CN,1279,0.01071279001591423
AUT,1263,0.0105787754418293
SWE,1024,0.00857693274143563
CHN,999,0.008367534969427924
POL,919,0.007697462099003267
ISR,669,0.005603484378926208
RUS,632,0.005293575676354804
NOR,607,0.005084177904347098
ROU,500,0.004187955440154116
,488,0.004087444509590418
FIN,447,0.0037440321634977804
DNK,435,0.0036435212329340816
AUS,426,0.0035681380350113074
AGO,362,0.0030320797386715805
LUX,287,0.002403886422648463
MAR,259,0.0021693609179998324
TUR,248,0.002077225898316442
HUN,230,0.0019264595024708936
ARG,214,0.0017924449283859619
JPN,197,0.001650054443420722
CZE,171,0.001432280760532708
IND,152,0.0012731384538068515
KOR,133,0.001113996147080995
GRC,128,0.0010721165926794538
DZA,103,0.0008627188206717481
SRB,101,0.0008459669989111316
HRV,100,0.0008375910880308234
MEX,85,0.0007119524248261999
EST,83,0.0006952006030655833
IRN,83,0.0006952006030655833
LTU,81,0.0006784487813049669
ZAF,80,0.0006700728704246586
BGR,75,0.0006281933160231175
NZL,74,0.0006198174051428093
COL,71,0.0005946896725018846
UKR,68,0.0005695619398609599
MOZ,67,0.0005611860289806516
CHL,65,0.0005444342072200352
SVK,65,0.0005444342072200352
THA,59,0.0004941787419381858
ISL,57,0.0004774269201775693
SVN,57,0.0004774269201775693
LVA,55,0.0004606750984169528
ARE,51,0.0004271714548957199
TWN,51,0.0004271714548957199
CYP,51,0.0004271714548957199
SAU,48,0.0004020437222547952
PHL,40,0.0003350364352123293
SGP,39,0.0003266605243320211
TUN,39,0.0003266605243320211
IDN,35,0.00029315688081078817
NGA,34,0.00028478096993047995
URY,32,0.00026802914816986345
EGY,32,0.00026802914816986345
LBN,31,0.00025965323728955524
PER,29,0.00024290141552893877
HKG,29,0.00024290141552893877
MYS,28,0.00023452550464863055
ECU,27,0.0002261495937683223
VEN,26,0.00021777368288801408
BLR,26,0.00021777368288801408
CPV,24,0.0002010218611273976
GEO,22,0.00018427003936678113
JOR,21,0.0001758941284864729
CRI,19,0.00015914230672585644
KAZ,19,0.00015914230672585644
OMN,18,0.0001507663958455482
MLT,18,0.0001507663958455482
GIB,18,0.0001507663958455482
AZE,17,0.00014239048496523997
KWT,16,0.00013401457408493173
MAC,16,0.00013401457408493173
QAT,15,0.0001256386632046235
