lead_time,Count,Percentage
0,6345,0.05314515453555574
1,3460,0.02898065164586649
2,2069,0.017329759611357735
3,1816,0.015210654158639753
4,1715,0.01436468715972862
5,1565,0.013108300527682385
6,1445,0.012103191222045397
7,1331,0.011148337381690259
8,1138,0.00953178658179077
12,1079,0.009037607839852585
11,1055,0.008836585978725187
9,992,0.008308903593265768
10,976,0.008174889019180835
14,965,0.008082753999497445
16,942,0.007890108049250355
17,881,0.007379177485551554
15,839,0.007027389228578608
19,839,0.007027389228578608
34,828,0.006935254208895217
18,826,0.006918502387134601
13,821,0.006876622832733059
28,820,0.006868246921852752
20,750,0.0062819331602311755
40,722,0.006047407655582544
29,712,0.005963648546779462
22,707,0.005921768992377921
32,690,0.005779378507412681
31,685,0.00573749895301114
21,678,0.005678867576848982
56,676,0.005662115755088366
39,673,0.005636988022447441
37,673,0.005636988022447441
26,671,0.005620236200686825
24,665,0.005569980735404975
36,663,0.005553228913644358
30,659,0.005519725270123126
35,655,0.005486221626601893
25,653,0.005469469804841276
27,649,0.005435966161320044
23,643,0.005385710696038194
33,643,0.005385710696038194
44,633,0.005301951587235112
41,607,0.005084177904347098
55,575,0.004816148756177235
38,575,0.004816148756177235
47,568,0.004757517380015077
68,564,0.004724013736493843
69,558,0.004673758271211994
45,537,0.004497864142725521
72,531,0.004447608677443672
53,530,0.0044392327665633636
50,527,0.004414105033922439
59,520,0.0043554736577602815
74,519,0.004347097746879973
61,513,0.004296842281598124
48,506,0.004238210905435966
46,495,0.004146075885752575
43,479,0.004012061311667644
49,479,0.004012061311667644
54,472,0.003953429935505486
66,466,0.0039031744702236366
42,464,0.0038864226484630203
86,461,0.0038612949158220956
102,458,0.003836167183181171
57,457,0.0038277912723008625
87,450,0.003769159896138705
88,448,0.003752408074378089
65,448,0.003752408074378089
92,441,0.003693776698215931
80,440,0.0036854007873356226
67,439,0.0036770248764553147
60,436,0.00365189714381439
52,435,0.0036435212329340816
99,430,0.0036016416785325405
75,425,0.003559762124130999
71,423,0.0035430103023703827
112,423,0.0035430103023703827
64,423,0.0035430103023703827
115,420,0.003517882569729458
98,420,0.003517882569729458
62,414,0.0034676271044476086
104,413,0.0034592511935673006
105,412,0.0034508752826869923
73,402,0.0033671161738839097
58,401,0.003358740263003602
63,398,0.003333612530362677
116,395,0.0033084847977217524
82,393,0.0032917329759611356
95,392,0.0032833570650808276
134,384,0.0032163497780383615
70,384,0.0032163497780383615
78,384,0.0032163497780383615
83,378,0.0031660943127565125
103,377,0.003157718401876204
113,373,0.003124214758354971
96,368,0.00308233520395343
51,366,0.0030655833821928136
151,365,0.0030572074713125052
81,360,0.003015327916910964
164,358,0.0029985760951503474
77,357,0.0029902001842700395
79,357,0.0029902001842700395
97,356,0.002981824273389731
76,351,0.00293994471898819
101,350,0.0029315688081078817
93,350,0.0029315688081078817
100,347,0.002906441075466957
84,345,0.0028896892537063406
85,344,0.0028813133428260322
169,337,0.002822681966663875
140,336,0.0028143060557835665
91,334,0.00279755423402295
111,333,0.0027891783231426418
94,333,0.0027891783231426418
178,325,0.002722171036100176
158,324,0.0027137951252198676
150,322,0.0026970433034592513
168,322,0.0026970433034592513
277,318,0.0026635396599380182
89,315,0.0026384119272970935
152,312,0.002613284194656169
124,308,0.002579780551134936
156,306,0.0025630287293743194
128,304,0.002546276907613703
162,303,0.0025379009967333947
213,303,0.0025379009967333947
143,301,0.0025211491749727783
131,300,0.00251277326409247
130,297,0.0024876455314515452
129,297,0.0024876455314515452
117,297,0.0024876455314515452
166,297,0.0024876455314515452
110,297,0.0024876455314515452
109,297,0.0024876455314515452
159,295,0.002470893709690929
181,295,0.002470893709690929
90,293,0.0024541418879303126
192,293,0.0024541418879303126
183,293,0.0024541418879303126
118,292,0.002445765977050004
122,288,0.002412262333528771
137,286,0.0023955105117681548
135,286,0.0023955105117681548
175,280,0.0023452550464863053
148,278,0.002328503224725689
123,276,0.0023117514029650722
141,274,0.002294999581204456
180,270,0.0022614959376832233
108,267,0.0022363682050422985
107,265,0.0022196163832816818
133,265,0.0022196163832816818
121,264,0.002211240472401374
174,263,0.0022028645615210654
142,259,0.0021693609179998324
