stays_in_week_nights,Count,Percentage
2,33684,0.28213418209230257
1,30310,0.2538738587821426
3,22258,0.18643102437390066
5,11077,0.0927799648211743
4,9563,0.08009883574838764
0,7645,0.06403383867995645
6,1499,0.012555490409582043
10,1036,0.00867744367199933
7,1029,0.008618812295837172
8,656,0.0054945975374822015
9,231,0.001934835413351202
15,85,0.0007119524248261999
11,56,0.0004690510092972611
19,44,0.00036854007873356225
12,42,0.0003517882569729458
20,41,0.0003434123460926376
14,35,0.00029315688081078817
13,27,0.0002261495937683223
16,16,0.00013401457408493173
21,15,0.0001256386632046235
22,7,5.863137616215764e-05
18,6,5.02554652818494e-05
25,6,5.02554652818494e-05
30,5,4.1879554401541165e-05
17,4,3.350364352123293e-05
24,3,2.51277326409247e-05
40,2,1.6751821760616466e-05
26,1,8.375910880308233e-06
32,1,8.375910880308233e-06
33,1,8.375910880308233e-06
34,1,8.375910880308233e-06
35,1,8.375910880308233e-06
41,1,8.375910880308233e-06
42,1,8.375910880308233e-06
50,1,8.375910880308233e-06
